feature,rmse,nb_zeros,nunique
dc10234ae,0.7987824344800175,3803,273
9884166a7,0.7987890870612496,3825,403
5374a601b,0.7988026696596712,4078,227
d7d314edc,0.7988282265124729,3751,270
031490e77,0.7988284012488325,3808,240
2c42b0dce,0.7988448330052466,4130,162
a5c62af4a,0.798863052495133,4113,153
bd6da0cca,0.7988659768487726,3588,279
d1e0f571b,0.7988713817900324,3885,256
7da54106c,0.7988835009352445,4128,175
f514fdb2e,0.7988844269813407,3782,326
58ed8fb53,0.7988923926063282,3862,403
2bbcbf526,0.7988982131045492,4199,140
65aa7f194,0.7988993674528522,4175,153
9c3154ae6,0.7989000023929776,3923,201
d6006ff44,0.798903340301492,4184,163
36a9a8479,0.7989085016594586,3735,245
f3a4246a1,0.7989115804998261,4179,215
e79e5f72c,0.7989298545256838,3719,248
22c7b00ef,0.7989362696356775,3921,208
7acae7ae9,0.7989630963666441,4132,154
e5b2d137a,0.7989680434031943,4106,191
e700276a2,0.7989771598776021,4268,89
ff558c2f2,0.7989800951294316,4148,243
49ca7ff2e,0.798982766901018,4159,222
33e4f9a0e,0.7989981627984605,4274,113
dc528471e,0.7990007258068555,4300,103
58e056e12,0.7990079479994333,2996,701
1029d9146,0.7990117200751253,4260,122
73687e512,0.7990154527737952,3765,378
8c61bede6,0.7990329116992221,4122,165
9108ee25c,0.7990488473559203,4313,69
337b3e53b,0.7990591117276599,4105,146
6c5c8869c,0.7990605687647052,3713,343
5e645a169,0.7990704385514503,3774,207
77deffdf0,0.7990806961081178,3567,287
f6bdb908a,0.7990928087932806,4180,153
e3a38370e,0.7990979266276047,4189,159
c63b4a070,0.7991032227581807,4254,118
44cb9b7c4,0.7991076957324057,4123,172
ff3b49c1d,0.7991097825797818,4271,96
f7d385108,0.799112656945541,4430,20
5d8a55e6d,0.7991132903361559,4127,179
e2c21c4bc,0.7991153624232346,4428,26
796855249,0.7991187765986754,4302,42
2e3c96323,0.7991291246473983,3782,208
d4cc42c3d,0.799153127447604,3887,232
402bb0761,0.7991622167394223,3866,387
f296082ec,0.7991686265246313,4054,176
34d3715d5,0.7991767948867341,4281,125
b7c931383,0.7991888149234216,3663,326
5f341a818,0.7991967354158642,3802,352
00f844fea,0.7992158368166833,4149,161
1184df5c2,0.7992251832704299,3682,351
0f8d7b98e,0.7992264506669453,4134,255
20604ed8f,0.7992310076633394,3863,416
5324862e4,0.7992315105466246,3808,242
d5e6c18b0,0.7992343674845056,4178,159
7166e3770,0.7992463402585778,4354,64
cac875244,0.7992493933345728,4228,99
edc3f10a1,0.799259824393233,4252,131
04be96845,0.7992601602509479,4350,77
8dc7f1eb9,0.7992660721085012,4199,204
9a3a1d59b,0.7992675138454302,4126,230
afe8cb696,0.7992708417280928,4116,226
a29c9f491,0.7992751102697542,4184,139
1189ee335,0.7992777911158665,4243,114
f31b73813,0.799285276476437,4412,21
83fc7f74c,0.7992906506521172,4317,86
460744630,0.7992936471584962,4316,67
4baa9ff99,0.7993068067901207,4370,72
22d7ad48d,0.799308128923904,3966,203
c46028c0f,0.7993082413743315,4129,143
d817823ff,0.7993100763202199,4358,73
bee71cf84,0.7993160676769938,4367,60
946d16369,0.7993204383597868,4269,117
11e12dbe8,0.7993365431907863,3531,290
3d6d38290,0.7993447465386704,3799,328
4e21c4881,0.7993592840402189,4178,158
4672a8299,0.7993614019954565,4275,122
62ea662e7,0.7993753417654935,4157,139
cbd0256fb,0.7993761447571197,4105,168
907e76fa9,0.7993773857758917,4436,14
9581ec522,0.7993774581805922,4184,143
d8c61553b,0.7993922231127171,4179,217
2b0fc604a,0.7993947884922938,4296,127
c1b9f4e76,0.7994221012052971,3882,406
547d3135b,0.7994259679755538,4009,280
e78e3031b,0.7994283721542572,3742,247
7a27eda46,0.7994320874947979,4375,56
0b1560062,0.7994412493191971,4228,123
85ef8a837,0.7994504262404866,4108,143
3bdee45be,0.7994555091814289,3799,326
469630e5c,0.7994568956413933,3806,281
f2db09ac3,0.7994637681141816,4325,85
13d6a844f,0.7994751202003725,4130,164
6654ce6d8,0.7994774856908106,4156,172
6c3d38537,0.7994914498428706,4054,198
fe33df1c4,0.7994961689672502,4131,204
1351bf96e,0.7994972106500995,3898,214
896d1c52d,0.7994981869878949,4314,107
3de2a9e0d,0.7995046110513484,4061,194
ac30af84a,0.7995077779903077,4101,219
092271eb3,0.7995088318769286,3703,258
6eaea198c,0.7995119307150965,4065,259
7a12cc314,0.7995172423924649,4168,168
7ba58c14d,0.7995219498277637,4275,121
44f3640e4,0.7995315719358631,4148,174
9ca0eee11,0.799533619512822,4139,197
fe28836c3,0.7995339274735498,4268,89
e7c0a50e8,0.7995362586246566,4131,174
5831f4c76,0.799537472890474,3747,301
cde3e280a,0.799538653945822,4120,139
c98c2d3c0,0.7995393787652738,4354,71
45293f374,0.7995459043763209,4115,162
2c95e6e31,0.7995679942952167,4130,152
17e160597,0.7995691021742293,4319,78
d5754aa08,0.7995757056902741,4044,202
50c7ea46a,0.7995757587520077,4216,85
1af4d24fa,0.799577179751001,3880,285
0e0f8504b,0.7995787702725872,4138,201
e1d0e11b5,0.7995877212322943,4100,217
c5a742ee4,0.799588248443138,4226,93
1f8a823f2,0.7995898797873902,4035,193
df838756c,0.7995943170959261,3881,294
857020d0f,0.7995945494166411,4271,134
4e22de94f,0.7995954639838961,4274,138
c7775aabf,0.7995958929388051,3843,391
4c7768bff,0.7996020444930986,4308,101
d1cf68555,0.7996111441231016,4407,29
9f5f58e61,0.799612968430992,4296,103
949ed0965,0.7996208206370015,3766,223
d318bea95,0.7996299756854964,4303,82
172a58959,0.7996312765656377,4353,75
9bd66acf6,0.7996313610421661,4095,192
a6229abfb,0.7996398878794314,4343,73
414b74eaa,0.7996451697878793,4350,75
a6b6bc34a,0.7996523812655142,3681,368
193a81dce,0.7996571545343233,4186,213
b961b0d59,0.799658919154529,4268,112
753e0a307,0.7996616035850277,4414,33
f51378159,0.7996679854731928,4222,113
280898a2f,0.7996712019933531,4235,118
fec5644cf,0.7996841087439825,4123,263
06f6a7287,0.7996867208866676,4363,59
aecaa2bc9,0.7996875292540078,4184,209
fd99c18b5,0.7996967144193139,3810,405
b58127585,0.7996978931506596,4368,70
d5fa73ead,0.7997121910486535,3740,336
8e8736fc8,0.7997154992733015,4211,118
9eab942f8,0.799723238485835,4415,33
d1fd0b9c2,0.7997297435441322,4166,165
d4e8dd865,0.7997324251466024,4188,140
5fe3acd24,0.7997381286134642,4066,198
cef9ab060,0.7997382517681022,4111,129
dd84964c8,0.7997435454175912,4073,195
0256b6714,0.7997458869978372,4201,163
f1851d155,0.7997478297354587,4108,194
266525925,0.7997532748155515,4003,284
b599b0064,0.7997552993671893,3861,413
64226e620,0.7997633229794975,4410,34
122c135ed,0.7997672715960363,3669,336
2d6565ce2,0.7997775771852709,4136,241
3839f8553,0.7997942900422073,4145,185
1eec37deb,0.7997945989666432,3906,192
86cefbcc0,0.7998011289221683,4170,228
6786ea46d,0.7998025371450965,4232,91
26cc05472,0.7998033922194252,4220,95
99e779ee0,0.7998079011129459,3857,247
29ab304b9,0.7998149673976939,3872,426
476d95ef1,0.7998163306912254,4127,235
ba136ae3f,0.7998176465493326,4122,166
6bab7997a,0.7998201868866738,4212,158
1dd7bca9f,0.7998251348773147,3854,245
c3c3f66ff,0.7998284671668824,4286,97
168c50797,0.799841035830179,4150,154
2cff4bf0c,0.7998458206559115,4026,275
da7f4b066,0.7998461536664476,4292,92
9e45b15cd,0.7998585669596778,4364,67
bf8150471,0.7998589595631036,4197,130
ec2a9147d,0.7998645154886723,4239,122
7a1e99f69,0.7998648211301113,4281,140
60a5b79e4,0.7998673320586033,4292,103
3a48a2cd2,0.7998699928226236,3762,367
e03733f56,0.7998788748639082,4143,190
692c44993,0.799878888414887,3893,207
c83ce87d0,0.7998789238487926,4390,51
ebe9f985f,0.799885822776189,4369,37
941244262,0.7998948722377688,4421,27
a1db86e3b,0.7998967748993282,3805,317
5fe6867a4,0.7999002576238818,4169,131
044c7e993,0.7999008339700558,4365,66
737d43535,0.7999009599275644,4165,175
d7875bb6c,0.799907633328917,3741,345
ffcec956f,0.7999083560441047,4315,80
cb9333bd7,0.7999117748171743,4406,35
87a2d8324,0.7999120232237612,4153,176
5509e2e98,0.7999126657357414,4383,48
63c094ba4,0.7999136275748474,3717,377
df6a71cc7,0.7999171308692752,4209,159
bc2bf3bcd,0.7999217838327469,4193,141
07cb6041d,0.7999250191041943,4207,159
b6ee6dae6,0.7999296824346439,4335,97
5ab3be3e1,0.7999312635493561,4335,90
408d191b3,0.7999325907352124,4186,203
5547d6e11,0.7999376134239139,3729,333
74fb8f14c,0.7999381230504179,4146,158
84067cfe0,0.7999448193821688,4339,56
64c6eb1cb,0.7999512705067097,3806,226
b88e5de84,0.7999532524621331,4012,149
070f95c99,0.7999584333115128,3660,309
b64425521,0.7999607897953778,3782,224
5e1085022,0.7999633302086862,4409,35
b4e4a184a,0.7999646615199933,4406,34
b0310a768,0.7999651453613819,4200,117
3be79d4a5,0.7999658623906158,4355,67
212e51bf6,0.7999737684431338,4297,84
